stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
【LIVE】桜が見ごろを迎えた『松江城』　島根県 - YouTube,https://www.youtube.com/watch?v=RgwfzuerlNQ,FALSE,video,TRUE,観光,松江城,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,島根県松江市殿町1-5,35.474303,133.052059,2024-04-12 15:47:03
【LIVE】大山 ますみず高原 - YouTube,https://www.youtube.com/watch?v=2ugnw7n5ncs,FALSE,video,TRUE,山岳,大山ますみず高原,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,鳥取県西伯郡伯耆町大内桝水高原1069-50,35.503704,134.238174,2024-04-13 19:16:16
【LIVE】道の駅　ゆうひパーク浜田 - YouTube,https://www.youtube.com/watch?v=2LPSSyvj0nQ,FALSE,video,TRUE,海岸,道の駅ゆうひパーク浜田,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,島根県浜田市原井町1203-1,34.899255,132.079883,2024-04-12 15:55:17
【LIVE】松江・宍道湖ライブカメラ - YouTube,https://www.youtube.com/watch?v=ELFkEwpoNIY,TRUE,video,TRUE,その他,宍道湖,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,島根県,35.472212,133.05053,2024-04-12 15:56:51
【LIVE】西郷港ライブカメラ　島根県隠岐の島町 - YouTube,https://www.youtube.com/watch?v=d8KqEU3mUH4,TRUE,video,TRUE,海岸,西郷港,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,島根県隠岐郡隠岐の島町中町目貫ノ四58,36.213368,133.311705,2024-04-12 15:59:43
【LIVE】野鳥たちで賑わう 米子水鳥公園 - YouTube,https://www.youtube.com/watch?v=ak23Y7YxtEg,TRUE,video,TRUE,海岸,米子水鳥公園,,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,鳥取県米子市彦名新田665,35.428136,133.330939,2024-04-12 16:01:05
【LIVE】鳥取市街地カメラ - YouTube,https://www.youtube.com/watch?v=pStPoy_tnGM,TRUE,video,TRUE,その他,鳥取市,鳥取市田園町,1ちゃん!日本海テレビ - YouTube,https://www.youtube.com/@NKT1CHANNEL/streams,鳥取県鳥取市田園町,35.503704,134.238174,2024-04-12 16:02:20
鶴山公園 - YouTube,https://www.youtube.com/watch?v=G61diEmt1_A,TRUE,video,TRUE,観光,鶴山公園,,津山市観光協会 - YouTube,https://www.youtube.com/@user-ho5bk6mb5z/streams,岡山県津山市山下135,34.661759,133.934894,2024-04-12 16:10:37
大垣市 ～水の都～ ”river-scape” - YouTube,https://www.youtube.com/watch?v=QrMX14cRd6w,FALSE,video,TRUE,河川,大垣市,,LIVE the SCAPE - YouTube,https://www.youtube.com/@live-the-scape/streams,岐阜県大垣市,35.359365,136.612753,2024-04-12 16:11:13
揖斐川町(旧春日村) ～山の中の日常～ ”nature-scape” - YouTube,https://www.youtube.com/watch?v=hCAqdd9_5Js,FALSE,video,TRUE,その他,揖斐川町(旧春日村),,LIVE the SCAPE - YouTube,https://www.youtube.com/@live-the-scape/streams,岐阜県揖斐郡揖斐川町春日,35.486948,136.5682,2024-04-13 19:16:23
飯田ケーブルテレビ麻績の里ライブカメラ のライブ配信 - YouTube,https://www.youtube.com/watch?v=N5CCkNC_Owk,TRUE,video,TRUE,観光,麻績の里,,飯田ケーブルテレビ麻績の里ライブカメラ - YouTube,https://www.youtube.com/@user-mk9qu8ro3u/streams,長野県飯田市座光寺2193-32,35.514703,137.821824,2024-04-15 18:16:15
岩代グラウンドから見る安達太良山 - YouTube,https://www.youtube.com/watch?v=f5RKS6V9esI,TRUE,video,FALSE,山岳,安達太良山,,いわしろ夢現塾 - YouTube,https://www.youtube.com/@user-kv1wd9je8f/streams,福島県郡山市熱海町石筵黒森,37.570606,140.260121,2024-04-12 16:16:33
🔴Live Cam Yokohama Japan /横浜汽車道ライブカメラ２ - YouTube,https://www.youtube.com/watch?v=nWHiRk0INj0,FALSE,video,TRUE,海岸,横浜汽車道,,横浜汽車道ライブカメラ /Live Cam Yokohama Japan - YouTube,https://www.youtube.com/@YokohamaLiveCam,神奈川県横浜市中区新港二丁目9,35.444688,139.642203,2024-04-15 18:17:36
