"id","stream_title","stream_url","stream_status","stream_type","is_rewind","category","poi","poi_detail","provider","provider_url","address","latitude","longitude","last_updated"
"yt_Z4v8Td6ax0c","【本州最北端・巨大マグロの青森県大間崎】下北半島国定公園 24H Live チャンネル ※晴れた日には津軽海峡をはさんで北海道の海岸も御覧いただけます。","https://www.youtube.com/watch?v=Z4v8Td6ax0c","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","","","2025-01-28 01:22:10"
"yt_16IpSMCu4cU","白鳥（新潟県【瓢湖】国指定瓢湖鳥獣保護区）Liveチャンネル　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=16IpSMCu4cU","True","","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","37.838496","139.23711","2025-01-28 02:16:24"
"yt_nwO2D1yUnT8","【道の駅】新潟県・笹川流れ 夕日会館　Liveチャンネル+BGM　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=nwO2D1yUnT8","True","","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","38.375218","139.458558","2025-01-28 02:16:27"
"yt_-hyYkoP0RBU","新潟県・道の駅　笹川流れライブチャンネル＋外部マイク　※晴れた日には粟島の島影も御覧いただけます　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=-hyYkoP0RBU","True","","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","38.376613","139.458681","2025-01-28 02:16:32"
"yt_zXA3yM0W2QA","日本海に沈む美しい夕日 ライブチャンネル（新潟県・関屋浜)＋BGM　※晴れた日には佐渡島の島影も御覧いただけます。☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=zXA3yM0W2QA","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","37.914432","139.008156","2025-01-28 02:16:46"
"yt_YEg-gA-OvtM","【富士急行線河口湖駅】富士観光開発(株) 本社屋上ライブカメラ　提供：UTYテレビ山梨【Kawaguchiko Station Live Cam in Japan】","https://www.youtube.com/watch?v=YEg-gA-OvtM","True","video","True","","","","UTYテレビ山梨公式チャンネル","https://www.youtube.com/channel/UCk2oG--VyYST4SYyQkeadjA","","","","2025-01-28 02:16:16"
"yt_So6EoqPRAbI","【甲府盆地の街並み】山梨県立科学館　屋上ライブカメラ（提供：テレビ山梨）【Kofu basin Live Cam in Japan】","https://www.youtube.com/watch?v=So6EoqPRAbI","True","video","True","","","","UTYテレビ山梨公式チャンネル","https://www.youtube.com/channel/UCk2oG--VyYST4SYyQkeadjA","","","","2025-01-28 02:16:16"
"yt_slOgQojt8w8","【交通・渋滞ライブカメラ】中央自動車道 上野原インターチェンジ 提供:UTYテレビ山梨【Uenohara I.C. Live Cam on CHUO EXPWY in Japan】","https://www.youtube.com/watch?v=slOgQojt8w8","True","video","True","","","","UTYテレビ山梨公式チャンネル","https://www.youtube.com/channel/UCk2oG--VyYST4SYyQkeadjA","","35.621219","139.115859","2025-01-28 00:41:31"
"yt_eU8A7QQOcso","【富士山ライブカメラ】～河口湖～富士山パノラマロープウェイ展望台　提供：UTYテレビ山梨【Mt.Fuji Live Cam in Japan】","https://www.youtube.com/watch?v=eU8A7QQOcso","True","","True","","","","UTYテレビ山梨公式チャンネル","https://www.youtube.com/channel/UCk2oG--VyYST4SYyQkeadjA","","35.503598","138.776987","2025-01-28 02:16:36"
"yt_zSQv73oysCY","滋賀県立大学　お天気カメラ","https://www.youtube.com/watch?v=zSQv73oysCY","True","video","True","","","","UnivShigaPref","https://www.youtube.com/channel/UCa9DpI_1lyyF3SHi26ozcog","","35.259572","136.218882","2025-01-28 02:16:58"
"yt_fWSeRxYDpKA","【LIVE】LIVE from Mt""Fuji summit JAPAN, #富士山頂ライブカメラ #赤富士 #紅富士 #山中湖ライブカメラ   #带来好运的红富士 　#富士山ライブカメラ","https://www.youtube.com/watch?v=fWSeRxYDpKA","True","","False","","","","VICENTE AGEMATSU","https://www.youtube.com/channel/UCz9uOOV45iv-gi8t5fpdkDQ","","35.494751","138.869095","2025-01-28 02:16:19"
